group,itemsetNum,conditionA,conditionB,sentence
A,1,X1,Y1,"This is a sentence where X = 1 and Y = 1."
A,2,X1,Y2,"Is this a sentence where X = 1 and Y = 2?"
A,3,X2,Y1,"Which sentence has values where X = 2 and Y = 1?"
A,4,X2,Y2,"I bet this sentence has values of X = 2 and Y = 2."
B,1,X2,Y2,"This is a sentence where X = 2 and Y = 2."
B,2,X1,Y1,"Is this a sentence where X = 1 and Y = 1?"
B,3,X1,Y2,"Which sentence has values X = 1 and Y = 2?"
B,4,X2,Y1,"I bet this sentence has values of X = 2 and Y = 1."
C,1,X2,Y1,"This is a sentence where X = 2 and Y = 1."
C,2,X2,Y2,"Is this a sentence where X = 2 and Y = 2?"
C,3,X1,Y1,"Which sentence has values X = 1 and Y = 1?"
C,4,X1,Y2,"I bet this sentence has values of X = 1 and Y = 2."
D,1,X1,Y2,"This is a sentence where X = 1 and Y = 2."
D,2,X2,Y1,"Is this a sentence where X = 2 and Y = 1?"
D,3,X2,Y2,"Which sentence has values X = 2 and Y = 2?"
D,4,X1,Y1,"I bet this sentence has values of X = 1 and Y = 1."
